Avg. Change in Pop.,Avg. Change in Internet Use,Avg. Change in Hom. Count,Avg. Change in Hom. Rate
141800,5.907664468,-9,-0.3
154575,3.12905196,-10,-0.2
163925,7.43766809,10,0.1
149800,-3.49516614,76,1.2
130900,0.3859752,4,0
119800,1.8287946,-21,-0.4
119300,3.17709187,-33,-0.5
121127.5,2.42355689,-10,-0.2
123579.5,2.68703204,26,0.3
126407.5,20.24698773,-55,-0.9
232065.5,11.26193781,29,0.4
176770,3.73,-7,-0.2
137996,4.38,2,0
142271,1.37387799,1,0
-438051,0.498877116,-59,-0.1
30983,1.253447931,-80,-0.2
694213,2.281781731,3,0
82901,9.819890625,-71,-0.1
33640,8.73246405,-59,-0.1
-684151,4.11124274,-37,-0.1
26815,0.81788302,-65,-0.1
142999,1,75,0.1
365394,4.2,-5,0
378853,1.76,-104,-0.2
189461,2.99,15,0.1
159530,2.8,6,0
429131,3.74,-16,-0.1
347711,4.3,-25,0
276830.5,4.85,-61,-0.1
25410.33333,0.623079444,57.66666667,1.966666667
14144,0.376962238,-104,-4.4
8616,0.753665916,145,5.25
11369.3255,1.968489806,-82,-3.45
11575.349,2.2,496,18.4
8459,2.8,203,7.2
12278.784,3.6,-18.66666667,-0.966666667
8341.648,0.7,64,2.1
6731,3.37,-252,-9.4
293754,2.77861882,-61,0
302000,4.790095172,61,0
320000,4.25096374,39,0.1
200000,7.97724943,-42,-0.1
239843,8.59945005,-37,0
365157,8.5413205,8,0
144000,8.06214026,-36,0
184000,1.84106477,88,0.1
68000,13.95866374,2,0
80994,4.52713647,-56,-0.1
-17000,1.76420422,-24,0
2000,5.61472968,-45,0
-68000,1.1,72,0
-134000,2.6,-140,-0.1
-169587,0.032772242,-44,0
-678327,0.06647285,-50,-0.1
-119857,0.333207614,-157,-0.9
-4481.75,0.384034384,-95.75,-0.6
103967,0.649979904,100,0.6
134044,0.311312835,-243,-1.7
161055,0.306661559,-88,-0.7
176108,0.751630949,-83,-0.7
189808,6.98,3,-0.1
335597,7.2,-42,-0.4
188041,0.131903016,8,0
168456,0.836689795,-20,-0.5
40113,1.961540182,-27,-0.6
38877,-0.003676147,25,0.5
64373,0.909501088,9,0.2
54183,1.181619039,-1,-0.1
50723,5.443416033,72,1.4
48456,1.77310566,-45,-0.9
102834,1.723093,-30,-0.7
47876.5,0.985,1.5,-0.1
-21628,1.24073764,-20,-0.7
-20213,1.261813174,4,0.2
-17126,1.072141169,-22,-0.8
-54415,1.931653028,-21,-0.8
-26704,0.900283725,9,0.5
-14760,14.72065419,-19,-0.8
-21566,5.04,-5,-0.1
13429,11.6,-12,-0.5
23992,7.42,-76,-3.2
38224,7.63,2,0.1
48226,5.54,-34,-1.5
57254,4.24,5,0.3
63024,3.43,9,0.4
-42330,1.58,-38,-1.7
241,8.60162276,0,0
590,14.35385802,0,0
384.5,-0.66101883,0,0
398.5,5.1977563,1,2.9
257,-0.63609199,-1,-2.9
276,0.84280521,0,0
312,0.86605708,0,0
124,4.91978156,1,2.8
143,5,0,0
-3946,0.701000866,-14,-0.3
-3208,0.993641588,-80,-2.1
-2720,0.950990955,-2,0
-4077,3.504012795,61,1.8
-211611,0.752289499,-17,-0.5
-17928,10.51064301,-60,-1.6
-432,8.22,51,1.5
4094,5.32,-1,0
15375,4.99,29,0.9
38862,7.68,-84,-2.4
85783,6,-11,-0.3
108131,5.32,21,0.7
126850,4.54,-46,-1.4
-41880,2.36,-33,-0.9
7356,6.41,0,0
3806,3.31,5,1
4706,6.9,2,0.6
4268,11.04215168,0,0
1286,2.72,-6,-1.5
2724,2.98,7,1.7
3656,6.62,-3,-0.7
2944,-0.83,-4,-1
4093,6.49,4,1
6385,3.18,2,0.4
6159,8.78,-2,-0.4
3101,4.14,0,0
14155,0.291860035,-10,-0.9
12023,2.089650769,7,0.5
14688,2.086933265,-8,-0.7
4431,2.629321888,3,0.3
0,1.499368904,2,0.1
10315,1.471720651,2,0.2
12615,1.93448153,6,0.4
10221,1.492561275,0.5,0
9445,1.52777125,13,1
7705,3.52,-5,-0.4
8162,1.59,3,0.2
6467,0.7,-10,-0.8
5892,5.82,-5,-0.4
1265024.4,0.995763993,-975,-1.24
1155995.2,2.425723169,-163.2,-0.28
1814630,2.768,3167.2,2.68
44366,0.8,-81,-3.3
10894,0.2,7,0.2
84444,0.2,20,0.6
1455,1.85,-6,-0.95
2617,2.1,13,2.1
1338,2.2,-1,-0.2
22154,11.82709028,0,0
23818,2.16757067,-5,-0.1
26308,2.14223111,0,0
30449,17.43988745,-1,-0.1
29517,12,0,0
24408,8.84,9,0.2
26696,5.29,5,0.1
27055,-0.44,-15,-0.3
31381,4.3,-3,-0.1
37385.5,0.56,0,0
48476,4.38,-3,-0.1
59059,3.64,4,0.1
31040.5,1.51,-5,-0.1
29473.5,1.31,0,0
2981789,0.024557508,242,0
4912510,0.016398481,942,0.5
2070137.667,0.424867687,-239.3333333,-0.3
2663574.5,1.861303674,-91,-0.2
2694012,0.645585486,142.5,0
2746547,0.233835451,462.5,0.15
56663.6,3.354520352,46,1.15
629946,4.05,-57,-0.35
1720287.143,0.569678115,32.42857143,-0.1
30423,0.647447922,20,0.1
31895,0.778265219,-66,-0.2
16231,2.028806528,1062,2.8
-12520,1.354171728,-49,-0.2
-390322,1.828984978,350,1
375029,2.615240999,-1394,-3.7
-408252,11.24933029,-60,-0.1
-230315,3.72,-54,-0.2
-14928,7.66,-29,0
-18936,6.28,-78,-0.2
-29036,5.77,-65,-0.2
-41088,4.02,35,0.1
-9838,4.53,-65,-0.2
15316,5.84,33,0.1
13940,3.35,-57,-0.2
20251.5,1.972124285,8,0.1
24781,4.917444487,11,0.1
26438,4.871891398,-16,-0.1
31194,1.68812985,7,0
66219,1.65666887,-11,-0.1
31947.5,1.28286344,14,0.1
24961.5,10.3,30,0.3
14229,2.11,-5,0
